x Xe ne tau dtaudx ddtauddx g dgdx ddgddx 
-10.9098 1 4.12515e+13 11678.5 -12723.1 13095.4 0 0 0 
-10.9087 1 4.11156e+13 11664.5 -12708.7 13081 0 0 0 
-10.9076 1 4.09801e+13 11650.6 -12694.3 13066.6 0 0 0 
-10.9065 1 4.08451e+13 11636.6 -12679.9 13052.2 0 0 0 
-10.9054 1 4.07105e+13 11622.7 -12665.6 13037.8 0 0 0 
-10.9043 1 4.05764e+13 11608.7 -12651.2 13023.4 0 0 0 
-10.9032 1 4.04427e+13 11594.8 -12636.9 13009 0 0 0 
-10.9021 1 4.03094e+13 11580.9 -12622.6 12994.7 0 0 0 
-10.901 1 4.01766e+13 11567.1 -12608.3 12980.4 0 0 0 
-10.8999 1 4.00442e+13 11553.2 -12594 12966.1 0 0 0 
-10.8988 1 3.99123e+13 11539.3 -12579.8 12951.8 0 0 0 
-10.8977 1 3.97808e+13 11525.5 -12565.6 12937.5 0 0 0 
-10.8966 1 3.96497e+13 11511.7 -12551.3 12923.2 0 0 0 
-10.8955 1 3.95191e+13 11497.9 -12537.1 12909 0 0 0 
-10.8944 1 3.93888e+13 11484.1 -12522.9 12894.8 0 0 0 
-10.8933 1 3.92591e+13 11470.3 -12508.7 12880.6 0 0 0 
-10.8922 1 3.91297e+13 11456.6 -12494.6 12866.4 0 0 0 
-10.8911 1 3.90008e+13 11442.9 -12480.4 12852.2 0 0 0 
-10.89 1 3.88723e+13 11429.1 -12466.3 12838 0 0 0 
-10.8889 1 3.87442e+13 11415.4 -12452.2 12823.9 0 0 0 
-10.8878 1 3.86165e+13 11401.7 -12438.1 12809.7 0 0 0 
-10.8867 1 3.84893e+13 11388.1 -12424 12795.6 0 0 0 
-10.8856 1 3.83625e+13 11374.4 -12409.9 12781.5 0 0 0 
-10.8845 1 3.82361e+13 11360.8 -12395.9 12767.4 0 0 0 
-10.8834 1 3.81101e+13 11347.1 -12381.8 12753.3 0 0 0 
-10.8823 1 3.79845e+13 11333.5 -12367.8 12739.3 0 0 0 
-10.8812 1 3.78594e+13 11319.9 -12353.8 12725.2 0 0 0 
-10.8801 1 3.77346e+13 11306.3 -12339.8 12711.2 0 0 0 
-10.879 1 3.76103e+13 11292.8 -12325.8 12697.2 0 0 0 
