z dL
5.74487 1.80069e+27 
5.74217 1.79967e+27 
5.73947 1.79865e+27 
5.73678 1.79764e+27 
5.73408 1.79662e+27 
5.73139 1.79561e+27 
5.7287 1.79459e+27 
5.726 1.79358e+27 
5.72331 1.79257e+27 
5.72062 1.79155e+27 
5.71794 1.79054e+27 
5.71525 1.78953e+27 
5.71256 1.78852e+27 
5.70988 1.78751e+27 
5.70719 1.78649e+27 
5.70451 1.78548e+27 
5.70183 1.78447e+27 
5.69915 1.78347e+27 
5.69647 1.78246e+27 
5.69379 1.78145e+27 
5.69111 1.78044e+27 
5.68844 1.77943e+27 
5.68576 1.77843e+27 
5.68309 1.77742e+27 
5.68041 1.77641e+27 
5.67774 1.77541e+27 
5.67507 1.7744e+27 
5.6724 1.7734e+27 
5.66973 1.7724e+27 
5.66706 1.77139e+27 
5.6644 1.77039e+27 
5.66173 1.76939e+27 
5.65907 1.76838e+27 
5.6564 1.76738e+27 
5.65374 1.76638e+27 
5.65108 1.76538e+27 
5.64842 1.76438e+27 
5.64576 1.76338e+27 
5.6431 1.76238e+27 
5.64044 1.76138e+27 
5.63779 1.76038e+27 
5.63513 1.75939e+27 
5.63248 1.75839e+27 
5.62982 1.75739e+27 
5.62717 1.75639e+27 
5.62452 1.7554e+27 
5.62187 1.7544e+27 
5.61922 1.75341e+27 
5.61658 1.75241e+27 
5.61393 1.75142e+27 
5.61128 1.75043e+27 
5.60864 1.74943e+27 
5.606 1.74844e+27 
5.60335 1.74745e+27 
5.60071 1.74646e+27 
5.59807 1.74546e+27 
5.59543 1.74447e+27 
5.59279 1.74348e+27 
5.59016 1.74249e+27 
5.58752 1.7415e+27 
5.58489 1.74052e+27 
5.58225 1.73953e+27 
5.57962 1.73854e+27 
5.57699 1.73755e+27 
5.57436 1.73656e+27 
5.57173 1.73558e+27 
5.5691 1.73459e+27 
5.56647 1.73361e+27 
5.56384 1.73262e+27 
5.56122 1.73164e+27 
5.55859 1.73065e+27 
5.55597 1.72967e+27 
5.55335 1.72868e+27 
5.55073 1.7277e+27 
5.54811 1.72672e+27 
5.54549 1.72574e+27 
5.54287 1.72476e+27 
5.54025 1.72377e+27 
5.53764 1.72279e+27 
5.53502 1.72181e+27 
5.53241 1.72083e+27 
5.52979 1.71986e+27 
5.52718 1.71888e+27 
5.52457 1.7179e+27 
5.52196 1.71692e+27 
5.51935 1.71594e+27 
5.51674 1.71497e+27 
5.51414 1.71399e+27 
5.51153 1.71301e+27 
5.50893 1.71204e+27 
5.50632 1.71106e+27 
5.50372 1.71009e+27 
5.50112 1.70912e+27 
5.49852 1.70814e+27 
5.49592 1.70717e+27 
5.49332 1.7062e+27 
5.49072 1.70522e+27 
5.48813 1.70425e+27 
5.48553 1.70328e+27 
5.48294 1.70231e+27 
5.48035 1.70134e+27 
5.47775 1.70037e+27 
5.47516 1.6994e+27 
5.47257 1.69843e+27 
5.46998 1.69746e+27 
5.46739 1.69649e+27 
5.46481 1.69553e+27 
5.46222 1.69456e+27 
5.45964 1.69359e+27 
5.45705 1.69263e+27 
5.45447 1.69166e+27 
5.45189 1.6907e+27 
5.44931 1.68973e+27 
5.44673 1.68877e+27 
5.44415 1.6878e+27 
5.44157 1.68684e+27 
5.439 1.68588e+27 
5.43642 1.68491e+27 
5.43384 1.68395e+27 
5.43127 1.68299e+27 
5.4287 1.68203e+27 
5.42613 1.68107e+27 
5.42356 1.68011e+27 
5.42099 1.67915e+27 
5.41842 1.67819e+27 
5.41585 1.67723e+27 
5.41329 1.67627e+27 
5.41072 1.67531e+27 
5.40816 1.67436e+27 
5.40559 1.6734e+27 
5.40303 1.67244e+27 
5.40047 1.67149e+27 
5.39791 1.67053e+27 
5.39535 1.66957e+27 
5.39279 1.66862e+27 
5.39023 1.66766e+27 
5.38768 1.66671e+27 
5.38512 1.66576e+27 
5.38257 1.6648e+27 
5.38002 1.66385e+27 
5.37746 1.6629e+27 
5.37491 1.66195e+27 
5.37236 1.661e+27 
5.36981 1.66005e+27 
5.36727 1.6591e+27 
5.36472 1.65815e+27 
5.36217 1.6572e+27 
5.35963 1.65625e+27 
5.35708 1.6553e+27 
5.35454 1.65435e+27 
5.352 1.6534e+27 
5.34946 1.65246e+27 
5.34692 1.65151e+27 
5.34438 1.65056e+27 
5.34184 1.64962e+27 
5.33931 1.64867e+27 
5.33677 1.64773e+27 
5.33424 1.64678e+27 
5.3317 1.64584e+27 
5.32917 1.6449e+27 
5.32664 1.64395e+27 
5.32411 1.64301e+27 
5.32158 1.64207e+27 
5.31905 1.64113e+27 
5.31652 1.64018e+27 
5.31399 1.63924e+27 
5.31147 1.6383e+27 
5.30894 1.63736e+27 
5.30642 1.63642e+27 
5.3039 1.63548e+27 
5.30138 1.63455e+27 
5.29886 1.63361e+27 
5.29634 1.63267e+27 
5.29382 1.63173e+27 
5.2913 1.6308e+27 
5.28878 1.62986e+27 
5.28627 1.62892e+27 
5.28375 1.62799e+27 
5.28124 1.62705e+27 
5.27873 1.62612e+27 
5.27622 1.62518e+27 
5.27371 1.62425e+27 
5.2712 1.62332e+27 
5.26869 1.62238e+27 
5.26618 1.62145e+27 
5.26367 1.62052e+27 
5.26117 1.61959e+27 
5.25866 1.61866e+27 
5.25616 1.61773e+27 
5.25366 1.6168e+27 
5.25116 1.61587e+27 
5.24866 1.61494e+27 
5.24616 1.61401e+27 
5.24366 1.61308e+27 
5.24116 1.61215e+27 
5.23866 1.61122e+27 
5.23617 1.6103e+27 
5.23367 1.60937e+27 
5.23118 1.60844e+27 
5.22869 1.60752e+27 
5.2262 1.60659e+27 
5.22371 1.60567e+27 
5.22122 1.60474e+27 
5.21873 1.60382e+27 
5.21624 1.6029e+27 
5.21375 1.60197e+27 
5.21127 1.60105e+27 
5.20878 1.60013e+27 
5.2063 1.59921e+27 
5.20382 1.59828e+27 
5.20134 1.59736e+27 
5.19886 1.59644e+27 
5.19638 1.59552e+27 
5.1939 1.5946e+27 
5.19142 1.59368e+27 
5.18894 1.59277e+27 
5.18647 1.59185e+27 
5.18399 1.59093e+27 
5.18152 1.59001e+27 
5.17905 1.5891e+27 
5.17658 1.58818e+27 
5.17411 1.58726e+27 
5.17164 1.58635e+27 
5.16917 1.58543e+27 
5.1667 1.58452e+27 
5.16423 1.5836e+27 
5.16177 1.58269e+27 
5.1593 1.58177e+27 
5.15684 1.58086e+27 
5.15438 1.57995e+27 
