z dL
5.74487 1.73598e+27 
5.74217 1.73503e+27 
5.73947 1.73408e+27 
5.73678 1.73314e+27 
5.73408 1.73219e+27 
5.73139 1.73124e+27 
5.7287 1.7303e+27 
5.726 1.72935e+27 
5.72331 1.72841e+27 
5.72062 1.72746e+27 
5.71794 1.72652e+27 
5.71525 1.72558e+27 
5.71256 1.72463e+27 
5.70988 1.72369e+27 
5.70719 1.72275e+27 
5.70451 1.7218e+27 
5.70183 1.72086e+27 
5.69915 1.71992e+27 
5.69647 1.71898e+27 
5.69379 1.71804e+27 
5.69111 1.7171e+27 
5.68844 1.71616e+27 
5.68576 1.71522e+27 
5.68309 1.71428e+27 
5.68041 1.71335e+27 
5.67774 1.71241e+27 
5.67507 1.71147e+27 
5.6724 1.71053e+27 
5.66973 1.7096e+27 
5.66706 1.70866e+27 
5.6644 1.70773e+27 
5.66173 1.70679e+27 
5.65907 1.70586e+27 
5.6564 1.70492e+27 
5.65374 1.70399e+27 
5.65108 1.70306e+27 
5.64842 1.70212e+27 
5.64576 1.70119e+27 
5.6431 1.70026e+27 
5.64044 1.69933e+27 
5.63779 1.69839e+27 
5.63513 1.69746e+27 
5.63248 1.69653e+27 
5.62982 1.6956e+27 
5.62717 1.69467e+27 
5.62452 1.69374e+27 
5.62187 1.69282e+27 
5.61922 1.69189e+27 
5.61658 1.69096e+27 
5.61393 1.69003e+27 
5.61128 1.6891e+27 
5.60864 1.68818e+27 
5.606 1.68725e+27 
5.60335 1.68633e+27 
5.60071 1.6854e+27 
5.59807 1.68448e+27 
5.59543 1.68355e+27 
5.59279 1.68263e+27 
5.59016 1.6817e+27 
5.58752 1.68078e+27 
5.58489 1.67986e+27 
5.58225 1.67893e+27 
5.57962 1.67801e+27 
5.57699 1.67709e+27 
5.57436 1.67617e+27 
5.57173 1.67525e+27 
5.5691 1.67433e+27 
5.56647 1.67341e+27 
5.56384 1.67249e+27 
5.56122 1.67157e+27 
5.55859 1.67065e+27 
5.55597 1.66973e+27 
5.55335 1.66882e+27 
5.55073 1.6679e+27 
5.54811 1.66698e+27 
5.54549 1.66606e+27 
5.54287 1.66515e+27 
5.54025 1.66423e+27 
5.53764 1.66332e+27 
5.53502 1.6624e+27 
5.53241 1.66149e+27 
5.52979 1.66057e+27 
5.52718 1.65966e+27 
5.52457 1.65875e+27 
5.52196 1.65783e+27 
5.51935 1.65692e+27 
5.51674 1.65601e+27 
5.51414 1.6551e+27 
5.51153 1.65419e+27 
5.50893 1.65328e+27 
5.50632 1.65237e+27 
5.50372 1.65146e+27 
5.50112 1.65055e+27 
5.49852 1.64964e+27 
5.49592 1.64873e+27 
5.49332 1.64782e+27 
5.49072 1.64691e+27 
5.48813 1.64601e+27 
5.48553 1.6451e+27 
5.48294 1.64419e+27 
5.48035 1.64329e+27 
5.47775 1.64238e+27 
5.47516 1.64147e+27 
5.47257 1.64057e+27 
5.46998 1.63966e+27 
5.46739 1.63876e+27 
5.46481 1.63786e+27 
5.46222 1.63695e+27 
5.45964 1.63605e+27 
5.45705 1.63515e+27 
5.45447 1.63425e+27 
5.45189 1.63334e+27 
5.44931 1.63244e+27 
5.44673 1.63154e+27 
5.44415 1.63064e+27 
5.44157 1.62974e+27 
5.439 1.62884e+27 
5.43642 1.62794e+27 
5.43384 1.62704e+27 
5.43127 1.62615e+27 
5.4287 1.62525e+27 
5.42613 1.62435e+27 
5.42356 1.62345e+27 
5.42099 1.62256e+27 
5.41842 1.62166e+27 
5.41585 1.62076e+27 
5.41329 1.61987e+27 
5.41072 1.61897e+27 
5.40816 1.61808e+27 
5.40559 1.61719e+27 
5.40303 1.61629e+27 
5.40047 1.6154e+27 
5.39791 1.6145e+27 
5.39535 1.61361e+27 
5.39279 1.61272e+27 
5.39023 1.61183e+27 
5.38768 1.61094e+27 
5.38512 1.61005e+27 
5.38257 1.60915e+27 
5.38002 1.60826e+27 
5.37746 1.60737e+27 
5.37491 1.60649e+27 
5.37236 1.6056e+27 
5.36981 1.60471e+27 
5.36727 1.60382e+27 
5.36472 1.60293e+27 
5.36217 1.60204e+27 
5.35963 1.60116e+27 
5.35708 1.60027e+27 
5.35454 1.59939e+27 
5.352 1.5985e+27 
5.34946 1.59761e+27 
5.34692 1.59673e+27 
5.34438 1.59584e+27 
5.34184 1.59496e+27 
5.33931 1.59408e+27 
5.33677 1.59319e+27 
5.33424 1.59231e+27 
5.3317 1.59143e+27 
5.32917 1.59055e+27 
5.32664 1.58966e+27 
5.32411 1.58878e+27 
5.32158 1.5879e+27 
5.31905 1.58702e+27 
5.31652 1.58614e+27 
5.31399 1.58526e+27 
5.31147 1.58438e+27 
5.30894 1.5835e+27 
5.30642 1.58263e+27 
5.3039 1.58175e+27 
5.30138 1.58087e+27 
5.29886 1.57999e+27 
5.29634 1.57912e+27 
5.29382 1.57824e+27 
5.2913 1.57736e+27 
5.28878 1.57649e+27 
5.28627 1.57561e+27 
5.28375 1.57474e+27 
5.28124 1.57386e+27 
5.27873 1.57299e+27 
5.27622 1.57211e+27 
5.27371 1.57124e+27 
5.2712 1.57037e+27 
5.26869 1.5695e+27 
5.26618 1.56862e+27 
5.26367 1.56775e+27 
5.26117 1.56688e+27 
5.25866 1.56601e+27 
5.25616 1.56514e+27 
5.25366 1.56427e+27 
5.25116 1.5634e+27 
5.24866 1.56253e+27 
5.24616 1.56166e+27 
5.24366 1.56079e+27 
5.24116 1.55993e+27 
5.23866 1.55906e+27 
5.23617 1.55819e+27 
5.23367 1.55732e+27 
5.23118 1.55646e+27 
5.22869 1.55559e+27 
5.2262 1.55472e+27 
5.22371 1.55386e+27 
5.22122 1.55299e+27 
5.21873 1.55213e+27 
5.21624 1.55127e+27 
5.21375 1.5504e+27 
5.21127 1.54954e+27 
5.20878 1.54868e+27 
5.2063 1.54781e+27 
5.20382 1.54695e+27 
5.20134 1.54609e+27 
5.19886 1.54523e+27 
5.19638 1.54437e+27 
5.1939 1.54351e+27 
5.19142 1.54265e+27 
5.18894 1.54179e+27 
5.18647 1.54093e+27 
5.18399 1.54007e+27 
5.18152 1.53921e+27 
5.17905 1.53835e+27 
5.17658 1.53749e+27 
5.17411 1.53664e+27 
5.17164 1.53578e+27 
5.16917 1.53492e+27 
5.1667 1.53407e+27 
5.16423 1.53321e+27 
5.16177 1.53235e+27 
5.1593 1.5315e+27 
5.15684 1.53065e+27 
5.15438 1.52979e+27 
5.15191 1.52894e+27 
5.14945 1.52808e+27 
5.14699 1.52723e+27 
5.14454 1.52638e+27 
5.14208 1.52553e+27 
5.13962 1.52467e+27 
5.13716 1.52382e+27 
5.13471 1.52297e+27 
5.13226 1.52212e+27 
5.1298 1.52127e+27 
5.12735 1.52042e+27 
5.1249 1.51957e+27 
5.12245 1.51872e+27 
5.12 1.51787e+27 
5.11755 1.51702e+27 
5.11511 1.51618e+27 
5.11266 1.51533e+27 
5.11022 1.51448e+27 
5.10777 1.51363e+27 
5.10533 1.51279e+27 
5.10289 1.51194e+27 
5.10044 1.5111e+27 
5.098 1.51025e+27 
5.09557 1.5094e+27 
5.09313 1.50856e+27 
5.09069 1.50772e+27 
5.08825 1.50687e+27 
5.08582 1.50603e+27 
5.08338 1.50519e+27 
5.08095 1.50434e+27 
5.07852 1.5035e+27 
5.07609 1.50266e+27 
5.07366 1.50182e+27 
5.07123 1.50098e+27 
5.0688 1.50014e+27 
5.06637 1.4993e+27 
5.06394 1.49846e+27 
5.06152 1.49762e+27 
5.05909 1.49678e+27 
5.05667 1.49594e+27 
5.05425 1.4951e+27 
5.05183 1.49426e+27 
5.04941 1.49342e+27 
5.04699 1.49259e+27 
5.04457 1.49175e+27 
5.04215 1.49091e+27 
5.03973 1.49008e+27 
5.03732 1.48924e+27 
5.0349 1.48841e+27 
5.03249 1.48757e+27 
5.03007 1.48674e+27 
5.02766 1.4859e+27 
5.02525 1.48507e+27 
5.02284 1.48424e+27 
5.02043 1.4834e+27 
5.01802 1.48257e+27 
5.01562 1.48174e+27 
5.01321 1.48091e+27 
5.01081 1.48007e+27 
5.0084 1.47924e+27 
5.006 1.47841e+27 
5.0036 1.47758e+27 
5.00119 1.47675e+27 
4.99879 1.47592e+27 
4.99639 1.47509e+27 
4.994 1.47426e+27 
4.9916 1.47344e+27 
4.9892 1.47261e+27 
4.98681 1.47178e+27 
4.98441 1.47095e+27 
4.98202 1.47013e+27 
4.97962 1.4693e+27 
4.97723 1.46847e+27 
4.97484 1.46765e+27 
4.97245 1.46682e+27 
4.97006 1.466e+27 
4.96767 1.46517e+27 
4.96529 1.46435e+27 
4.9629 1.46352e+27 
4.96052 1.4627e+27 
4.95813 1.46188e+27 
4.95575 1.46106e+27 
4.95337 1.46023e+27 
4.95098 1.45941e+27 
4.9486 1.45859e+27 
4.94622 1.45777e+27 
4.94385 1.45695e+27 
4.94147 1.45613e+27 
4.93909 1.45531e+27 
4.93672 1.45449e+27 
4.93434 1.45367e+27 
4.93197 1.45285e+27 
4.9296 1.45203e+27 
4.92722 1.45121e+27 
4.92485 1.45039e+27 
4.92248 1.44958e+27 
4.92011 1.44876e+27 
4.91775 1.44794e+27 
4.91538 1.44713e+27 
4.91301 1.44631e+27 
4.91065 1.4455e+27 
4.90828 1.44468e+27 
4.90592 1.44387e+27 
4.90356 1.44305e+27 
4.9012 1.44224e+27 
4.89884 1.44142e+27 
4.89648 1.44061e+27 
4.89412 1.4398e+27 
4.89176 1.43898e+27 
4.8894 1.43817e+27 
4.88705 1.43736e+27 
4.88469 1.43655e+27 
4.88234 1.43574e+27 
4.87999 1.43493e+27 
4.87763 1.43412e+27 
4.87528 1.43331e+27 
4.87293 1.4325e+27 
4.87058 1.43169e+27 
4.86824 1.43088e+27 
4.86589 1.43007e+27 
4.86354 1.42926e+27 
4.8612 1.42845e+27 
4.85885 1.42765e+27 
4.85651 1.42684e+27 
4.85417 1.42603e+27 
4.85182 1.42523e+27 
4.84948 1.42442e+27 
4.84714 1.42362e+27 
4.8448 1.42281e+27 
4.84247 1.42201e+27 
4.84013 1.4212e+27 
4.83779 1.4204e+27 
4.83546 1.41959e+27 
4.83312 1.41879e+27 
4.83079 1.41799e+27 
4.82846 1.41718e+27 
4.82613 1.41638e+27 
4.8238 1.41558e+27 
4.82147 1.41478e+27 
4.81914 1.41398e+27 
4.81681 1.41318e+27 
4.81448 1.41238e+27 
